Region,Site,Latitude,Longitude,Date,Method,ID,Sex,Age_class,Mass,Culmen,Tarsus,Wing_length
South BC,Indian Arm,49.37253,-122.88893,2015-04-10,Capture,176715067,Female,Hatch Year,742,29.89,36.56,210
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715031,Female,After Hatch Year,758,29.66,36.68,210
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715041,Female,Hatch Year,724,31.87,38.04,210
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715049,Female,After Hatch Year,837,30.36,37.25,211
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715054,Female,After Hatch Year,831,29.87,37.91,211
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715038,Female,Hatch Year,765,31.43,38.59,211
South BC,Indian Arm,49.32399,-122.90476,2015-04-07,Capture,176715030,Female,Hatch Year,750,30.05,38.96,212
South BC,Indian Arm,49.37253,-122.88893,2015-04-10,Capture,176715068,Male,Hatch Year,988,34.76,39.07,212
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715056,Female,After Hatch Year,797,31.75,37.34,215
South BC,Indian Arm,49.44361,-122.87911,2011-04-07,Capture,154711975,Female,After Hatch Year,750,31.12,37.43,215
South BC,Indian Arm,49.32399,-122.90476,2015-04-07,Capture,176715026,Female,Hatch Year,790,30.68,37.68,215
South BC,Indian Arm,49.44361,-122.87911,2011-04-07,Capture,154711963,Female,After Hatch Year,769,29.49,34.94,216
South BC,Indian Arm,49.43382,-122.87371,2011-04-07,Capture,154711974,Female,After Hatch Year,794,29.74,36.03,216
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715039,Female,Hatch Year,705,31.48,37.52,216
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715063,Male,Hatch Year,915,33.99,39.51,216
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715052,Female,Hatch Year,734,30.51,37.03,217
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715050,Female,Hatch Year,707,33.68,37.09,217
South BC,Indian Arm,49.37253,-122.88893,2015-04-10,Capture,176715066,Female,After Hatch Year,861,32.92,38.79,218
South BC,Indian Arm,49.32399,-122.90476,2015-04-07,Capture,176715029,Female,After Hatch Year,896,31.97,36.14,220
South BC,Indian Arm,49.37253,-122.88893,2015-04-10,Capture,176715065,Female,After Hatch Year,882,33.16,36.58,220
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715037,Female,After Hatch Year,800,32.24,36.89,220
South BC,Indian Arm,49.43382,-122.87371,2011-04-07,Capture,154711969,Female,After Hatch Year,833,30.53,36.21,221
South BC,Indian Arm,49.32399,-122.90476,2015-04-07,Capture,176715024,Female,After Hatch Year,758,30.22,37.22,222
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715047,Male,Hatch Year,1020,33.82,41.38,225
